"table_name","column_name","python_datatype","db_datatype","row_count","unique_count","null_count","fill_rate_pct","top_10_values","bottom_10_values","min_length","max_length"
"allergies","allergy_id","server-side","decimal(18,0)","8778466","~231,573 (sampled)","5598052","36.23","11424(15); 49444(15); 134465(14); 40662(14); 40661(14); 132375(14); 118661(13); 68424(12); 116281(12); 122660(12)","57887(1); 56541(1); 41642(1); 201(1); 4669(1); 206139(1); 542(1); 2794(1); 582(1); 59172(1)","",""
"allergies","ndid","server-side","bigint","8778466","~1,002,290","0","100.0","100100010006508(3541); 100100010000392(2796); 100100010002140(2477); 100100010000325(2474); 100100010010527(2440); 100100010018859(1946); 100100010025296(1931); 100100010005729(1883); 100100010007660(1583); 100100010013229(1537)","100100010004379(1); 100100010001274(1); 100100010001124(1); 100100010002018(1); 100100010001922(1); 100100010001019(1); 100100010001635(1); 100100010002814(1); 100100010002496(1); 100100010001632(1)","",""
"allergies","eid","server-side","bigint","8778466","~0 (sampled)","3180418","63.77","","","",""
"allergies","allergy_onset_date","server-side","varchar(25)","8778466","~9,233 (sampled)","8162300","7.02","((PHONE_NUMBER))(3902); 2012-07-18(90); 2012-06-02(89); 2012-08-16(88); 2012-09-16(84); 2012-07-14(84); 2012-11-11(83); 2012-09-08(81); 2012-09-18(81); 2012-10-27(76)","1954-11-19(1); 1995-07-01(1); 1981-07-31(1); 1983-12-31(1); 1984-08-01(1); 1997-11-24(1); 2003-10-11(1); 1996-07-02(1); 2019-08-22 12:00AM(1); 2010-12-16(1)","",""
"allergies","allergy_end_date","server-side","date","8778466","n/a","8568016","2.4","","","",""
"allergies","allergy_type","server-side","varchar(200)","8778466","~5 (sampled)","1412705","83.91","Medications(638); Food(47); Environmental(39); Unknown(37); Imported From CCDA(10)","Imported From CCDA(10); Unknown(37); Environmental(39); Food(47); Medications(638)","",""
"allergies","allergen_name","server-side","longtext","8778466","~526 (sampled)","1405363","83.99","PENICILLIN(3372); KEFLEX(1308); MESANTOIN(855); CODEINE(524); BACITRACIN(480); BACTRIM(459); MORPHINE(436); CLINDAMYCIN(403); TOPAMAX(397); ERYTHROMYCIN(367)","ketorolac(1); GREEN TEA(1); TERBINAFINE(1); CODEINE HCL(1); ATORVASTATIN(1); PROCHLORPERAZINE(1); ENTACAPONE(1); SULFACETAMIDE(1); Neosporin (neo-bac-polym)(1); CLARITIN(1)","",""
"allergies","allergen_code","server-side","varchar(25)","8778466","~485 (sampled)","5660192","35.52","2670(511); 151399(481); 7052(425); 2582(400); 220343(395); 202609(362); 203563(344); 151392(331); 5640(328); 6448(282)","218353(1); 6922(1); 42463(1); 3858(1); 151827(1); 703(1); 227423(1); 8787(1); 190283(1); 6916(1)","",""
"allergies","allergen_coding_system","server-side","varchar(10)","8778466","~5 (sampled)","5670714","35.4","RXNORM(7472); FDBDRUG(549); FDBALLERGP(83); ICD9(20); HICSEQNO(16)","HICSEQNO(16); ICD9(20); FDBALLERGP(83); FDBDRUG(549); RXNORM(7472)","",""
"allergies","allergy_reaction_name","server-side","longtext","8778466","~1,893 (sampled)","5273818","39.92","Rash(14142); Hives(10165); Other(9687); Itching(5864); Anaphylaxis(4233); Nausea(3738); Swelling(2969); ((PHONE_NUMBER))(2496); Diarrhea(1962); Vomiting(1490)","hives, itching, swelling, rash(1); Took several yrs ago was no help(1); hives on palms(1); itching / hives / rash(1); reduced kidney function(1); decreased concentration(1); aggressive behavior increased protein in blood(1); VIIBRYD, ZYVOX(1); sweating, agitation(1); shaking / sweating(1)","",""
"allergies","allergy_reaction_code","server-side","text","8778466","~117 (sampled)","8479560","3.4","271807003(12939); 74964007(9687); 126485001(9228); 418290006(5589); 39579001(4013); 422587007(3582); 65124004(2697); 62315008(1872); 422400008(1433); 25064002(1393)","386705008, 422587007(1); 29857009, 418290006(1); 386705008, 422400008, 422587007(1); 267036007, 68235000(1); 418290006, 65124004, 95328003(1); 386705008, 422400008(1); 247472004, 422587007(1); 267036007, 95328003(1); 62315008, 95328003(1); 247472004, 288939007(1)","",""
"allergies","allergy_reaction_coding_system","server-side","varchar(100)","8778466","~1 (sampled)","8409097","4.21","SNOMED(63384)","SNOMED(63384)","",""
"allergies","allergy_severity","server-side","varchar(30)","8778466","~7 (sampled)","8498869","3.19","Severe(4958); Moderate severity(4648); Mild(3567); Moderate to severe(3357); Mild to moderate(2441); Fatal(103); Moderate(23)","Moderate(23); Fatal(103); Mild to moderate(2441); Moderate to severe(3357); Mild(3567); Moderate severity(4648); Severe(4958)","",""
"allergies","allergy_route","server-side","varchar(50)","8778466","~0 (sampled)","8778466","0.0","","","",""
"allergies","allergy_status","server-side","varchar(50)","8778466","~0 (sampled)","3180414","63.77","","","",""
"allergies","created_datetime","server-side","datetime","8778466","n/a","0","100.0","","","",""
"allergies","created_by","server-side","varchar(2)","8778466","~1 (sampled)","0","100.0","ND(500000)","ND(500000)","",""
"allergies","updated_datetime","server-side","datetime","8778466","n/a","8110082","7.61","","","",""
"allergies","updated_by","server-side","varchar(100)","8778466","~1 (sampled)","8110082","7.61","ND(282975)","ND(282975)","",""
"allergies","ehr_source_name","server-side","varchar(100)","8778466","~2 (sampled)","0","100.0","athenaone(282975); Greenway(217025)","Greenway(217025); athenaone(282975)","",""
"allergies","source_path","server-side","varchar(12)","8778466","~2 (sampled)","0","100.0","bronze_layer(282975); bronze_table(217025)","bronze_table(217025); bronze_layer(282975)","",""
"allergies","data_type","server-side","varchar(10)","8778466","~1 (sampled)","0","100.0","Structured(500000)","Structured(500000)","",""
"allergies","psid","server-side","varchar(4)","8778466","~12","0","100.0","1(500000)","1(500000)","",""
"allergies","nd_extracted_date","server-side","date","8778466","n/a","3495492","60.18","","","",""
"allergies","udm_inc_id","server-side","bigint","8778466","~8,674,432","0","100.0","9038475(1); 9038476(1); 9038477(1); 9038478(1); 9038479(1); 9038480(1); 9038481(1); 9038482(1); 9038483(1); 9038484(1)","9038475(1); 9038476(1); 9038477(1); 9038478(1); 9038479(1); 9038480(1); 9038481(1); 9038482(1); 9038483(1); 9038484(1)","",""
"allergies","enc_date_proxy","server-side","date","8778466","n/a","8246106","6.06","","","",""
"diagnosis","diag_id","server-side","varchar(100)","47931830","~500,000 (sampled)","0","100.0","1(1); 10(1); 3(1); 2(1); 6(1); 5(1); 4(1); 8(1); 7(1); 9(1)","1(1); 10(1); 3(1); 2(1); 6(1); 5(1); 4(1); 8(1); 7(1); 9(1)","",""
"diagnosis","ndid","server-side","bigint","47931830","~2,355,099","0","100.0","100100010009034(2952); 100100010009023(1448); 100100010006508(1422); 100100010000900(1224); 100100010004959(1157); 100100010009192(924); 100100010004191(885); 100100010007346(877); 100100010007260(855); 100100010002908(854)","100100010000001(1); 100100010000127(1); 100100010000021(1); 100100010000097(1); 100100010000113(1); 100100010000048(1); 100100010000022(1); 100100010000066(1); 100100010000090(1); 100100010000119(1)","",""
"diagnosis","eid","server-side","bigint","47931830","~12,721,117","0","100.0","1421242225339580(25); 1271240271527610(25); 1362470836089130(25); 1225631775003350(24); 1251736392011850(24); 1246432560010340(22); 1304322250987630(21); 1240175741004630(21); 1247998230561990(21); 1246462587060340(20)","1203278793001760(1); 1203450904001280(1); 1203171884001280(1); 1202913716001460(1); 1203682551001830(1); 1202914208001460(1); 1503215556194800(1); 1203677724001830(1); 1202932412001460(1); 1203493866001830(1)","",""
"diagnosis","enc_date","server-side","date","47931830","n/a","0","100.0","","","",""
"diagnosis","encounter_end_date","server-side","date","47931830","n/a","5389644","88.76","","","",""
"diagnosis","diag_date","server-side","date","47931830","~31,830","3467512","92.77","","","",""
"diagnosis","diag_code","server-side","varchar(10)","47931830","~48,457","433683","99.1","191.0(7351); 053.19(4876); 174.9(4462); 079.89(3548); 135(2971); 191.9(2694); 185(2279); 042(2271); 053.9(2246); 162.9(2012)"," 433.10(1);  555.9(1);  729.5(1);  782.0(1); 006.3(1); 004.1(1); .9(1); 008.46(1); 00.56(1); 003.0(1)","",""
